format,image,mana_cost,name,percentage_deck,played_number,type
modern,https://cdn1.mtggoldfish.com/images/gf/Raugrin%2BTriome%2B%255BIKO%255D.jpg,0,Raugrin Triome,24%,1.1,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Otawara%252C%2BSoaring%2BCity%2B%255BNEO%255D.jpg,0,"Otawara, Soaring City",24%,1.2,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Windswept%2BHeath%2B%255BKTK%255D.jpg,0,Windswept Heath,24%,2.9,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Sacred%2BFoundry%2B%255BGRN%255D.jpg,0,Sacred Foundry,24%,1.4,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Mountain%2B%253C253%253E%2B%255BTHB%255D.jpg,0,Mountain,22%,2.4,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Ketria%2BTriome%2B%253Cplaneswalker%2Bstamp%253E%2B%255BIKO%255D.jpg,0,Ketria Triome,21%,1.0,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Temple%2BGarden%2B%255BGRN%255D.jpg,0,Temple Garden,19%,1.4,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Cavern%2Bof%2BSouls%2B%255BAVR%255D.jpg,0,Cavern of Souls,17%,2.8,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Spirebluff%2BCanal%2B%255BKLD%255D.jpg,0,Spirebluff Canal,16%,3.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Ephemerate%2B%255BMH1%255D.jpg,0,Ephemerate,9%,2.6,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Fireblast%2B%255BVI%255D.jpg,0,Fireblast,8%,3.7,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Heliod%2527s%2BPilgrim%2B%255BM15%255D.jpg,0,Heliod's Pilgrim,4%,1.8,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Soul%2Bof%2BMigration%2B%255BMH2%255D.jpg,0,Soul of Migration,4%,1.2,creatures
standard,https://cdn1.mtggoldfish.com/images/gf/Brightclimb%2BPathway%2B%255BZNR%255D.jpg,0,Brightclimb Pathway,29%,3.8,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Shattered%2BSanctum%2B%255BVOW%255D.jpg,0,Shattered Sanctum,28%,3.7,lands
standard,https://cdn1.mtggoldfish.com/images/gf/Hall%2Bof%2BStorm%2BGiants%2B%253Cclassic%2Bmodule%253E%2B%255BAFR%255D.jpg,0,Hall of Storm Giants,28%,1.5,lands
